asteroid_id,name,diameter_norm,velocity_norm,miss_distance_norm,encounter_frequency_norm,rank_baseline,score_baseline,rank_size_dominant,score_size_dominant,rank_proximity_dominant,score_proximity_dominant,rank_velocity_dominant,score_velocity_dominant,rank_equal_weights,score_equal_weights
2000433,433 Eros (A898 PA),1.0,0.066833,0.205002,0.0,1,0.474867,1,0.651025,2279,0.315868,1478,0.274417,357,0.317959
2066008,66008 (1998 QH2),0.078305,0.657185,0.846269,0.0,2,0.41664,3,0.314814,17,0.570233,7,0.513507,28,0.39544
3843476,(2019 PJ),0.002067,0.549329,0.952005,0.142857,3,0.41058,10,0.281183,2,0.600567,23,0.479765,11,0.411564
3696402,(2014 WF6),0.001536,0.512777,0.965124,0.142857,4,0.406993,12,0.278006,4,0.59971,31,0.464006,14,0.405574
54554706,(2025 US6),3.4e-05,0.034719,1.0,1.0,5,0.406957,56,0.255228,1,0.606951,770,0.317366,1,0.508688
3830890,(2018 SP2),0.001277,0.414941,0.976017,0.285714,6,0.404875,18,0.272496,3,0.599823,69,0.4315,5,0.419487
2415029,415029 (2011 UL21),0.078305,0.497736,0.912871,0.0,7,0.40473,4,0.304217,14,0.571644,43,0.447103,71,0.372228
3617076,(2012 VC26),0.000177,0.396363,0.933394,0.428571,8,0.402219,22,0.267668,7,0.588862,77,0.427753,2,0.439626
2465402,465402 (2008 HW1),0.039954,0.748636,0.785972,0.0,9,0.4015,7,0.293462,48,0.550704,2,0.539503,31,0.393641
3906633,(2019 XF2),0.000415,0.382116,0.985892,0.285714,10,0.400928,21,0.269031,5,0.598023,108,0.416891,9,0.413534
3827174,(2018 RB1),0.000275,0.4217,0.959252,0.285714,11,0.400797,20,0.269556,6,0.592593,71,0.431327,6,0.416735
3731242,(2015 TD323),0.012375,0.780509,0.746872,0.142857,12,0.399399,11,0.281019,60,0.546299,1,0.55639,4,0.420653
3843136,(2019 NG2),0.001786,0.595133,0.882362,0.142857,13,0.398736,16,0.273957,13,0.574851,17,0.488682,15,0.405535
2276033,276033 (2002 AJ129),0.021241,0.727671,0.814802,0.0,14,0.398471,9,0.284855,35,0.557183,4,0.531044,35,0.390928
3370278,(2007 EK),0.000124,0.426177,0.945722,0.285714,15,0.397573,24,0.267431,8,0.586693,72,0.430829,7,0.414435
2439437,439437 (2013 NK4),0.019548,0.433196,0.958207,0.142857,16,0.396206,13,0.275492,10,0.583938,82,0.426435,40,0.388452
2504034,504034 (2005 UJ159),0.036943,0.613125,0.855358,0.0,17,0.39401,8,0.285206,33,0.557693,19,0.485023,58,0.376356
3781983,(2017 SA20),0.000214,0.326493,0.982217,0.285714,18,0.388621,32,0.259832,9,0.585021,209,0.388304,23,0.39866
3892775,(2019 VB5),1.3e-05,0.353973,0.961861,0.285714,19,0.38793,33,0.259762,11,0.580299,161,0.397933,21,0.40039
3703792,(2015 BF),0.000534,0.493724,0.912997,0.142857,20,0.387143,26,0.264121,19,0.569636,50,0.443854,42,0.387528
2488789,488789 (2004 XK50),0.01919,0.549457,0.895229,0.0,21,0.386136,17,0.272978,26,0.561344,36,0.457612,93,0.365969
3781451,(2017 RK15),0.000837,0.397011,0.920929,0.285714,22,0.384587,42,0.258526,20,0.568605,123,0.41143,20,0.401123
2144900,144900 (2004 VG64),0.026628,0.548186,0.830589,0.142857,23,0.383751,19,0.271465,67,0.544543,34,0.459822,44,0.387065
2363599,363599 (2004 FG11),0.007406,0.481962,0.897438,0.142857,24,0.382872,28,0.263368,28,0.560878,60,0.436236,48,0.382416
54427459,(2024 BY15),0.000488,0.285615,0.940018,0.428571,25,0.382181,62,0.252567,18,0.570087,292,0.373766,8,0.413673
3683472,(2014 QZ295),0.001277,0.472825,0.812987,0.428571,26,0.381829,52,0.255716,68,0.544171,52,0.442122,3,0.428915
3836314,(2018 WX1),0.001745,0.409169,0.898289,0.285714,27,0.38059,49,0.256366,30,0.559899,120,0.413163,22,0.398729
2523609,523609 (2005 PJ2),0.014887,0.440671,0.907029,0.142857,28,0.380484,27,0.263582,31,0.558912,103,0.419005,57,0.376361
3633188,(2013 FW13),0.00553,0.378584,0.958304,0.142857,29,0.379706,39,0.25891,15,0.570261,169,0.396345,73,0.371319
2837253,837253 (2013 FW13),0.00553,0.378584,0.958304,0.142857,30,0.379706,40,0.25891,16,0.570261,170,0.396345,74,0.371319
3762435,(2016 VA),0.000321,0.40602,0.994255,0.0,31,0.379609,30,0.259947,12,0.578396,150,0.401925,146,0.350149
3467394,(2009 SG18),0.035116,0.66212,0.773158,0.0,32,0.378418,14,0.275019,145,0.526026,13,0.492715,87,0.367598
2523664,523664 (2012 OD1),0.023728,0.455004,0.925247,0.0,33,0.378066,23,0.267537,32,0.55837,107,0.417297,140,0.350995
3893213,(2019 VS5),0.0027,0.509615,0.863581,0.142857,34,0.376363,45,0.257921,57,0.548539,51,0.442349,51,0.379688
2523808,523808 (2007 ML24),0.016177,0.342567,0.955257,0.142857,35,0.375847,35,0.259286,22,0.563663,260,0.379856,98,0.364215
3552654,(2010 WU8),0.001696,0.343215,0.876953,0.428571,36,0.375264,85,0.249319,52,0.550316,201,0.390194,10,0.412609
3587871,(2011 VG9),0.003976,0.456368,0.939415,0.0,37,0.374688,41,0.258724,25,0.561776,109,0.416862,148,0.34994
3989144,(2020 BC6),0.008087,0.425782,0.952491,0.0,38,0.374139,36,0.259218,24,0.563019,142,0.405007,163,0.34659
3781414,(2017 RX2),0.000547,0.475541,0.832229,0.285714,39,0.373567,63,0.252391,80,0.539904,66,0.432897,24,0.398508
3394071,(2007 VY137),0.001522,0.372987,0.898967,0.285714,40,0.373468,73,0.25094,44,0.552957,174,0.395163,37,0.389797
